model,PR_AUC,ROC_AUC,Recall,Precision,F1,threshold
MLP_1_plain_BCE,0.1859,0.9411,0.0217,0.4298,0.0413,0.5
MLP_2_weighted,0.1662,0.9469,0.8907,0.0451,0.0859,0.5
MLP_3_focal,0.1927,0.9463,0.1983,0.3109,0.2422,0.5
MLP_4_focal_dropout,0.1859,0.9421,0.1301,0.3387,0.188,0.5
MLP_5_focal_drop_bn,0.1638,0.9443,0.0044,0.2041,0.0087,0.5
MLP_6_undersample,0.1239,0.9328,0.7627,0.0625,0.1156,0.5
LightGBM,0.2237,0.958,0.8907,0.0557,0.1048,0.5
XGBoost,0.2438,0.9618,0.8836,0.0598,0.112,0.5
FT_Transformer,0.1446,0.9338,0.0713,0.28,0.1136,0.5
AE_anomaly,0.025,0.7028,0,0,0,0.5
TabNet,0.0932,0.9193,0.9172,0.0241,0.047,0.5
XGB_SMOTE,0.2127,0.951,0.3878,0.2272,0.2866,0.5
MLP_SMOTE,0.1885,0.9473,0.5091,0.1679,0.2526,0.5
MLP_AE_hybrid,0.1905,0.9432,0.1456,0.335,0.203,0.5
XGB_AE_hybrid,0.2348,0.9618,0.8862,0.0611,0.1143,0.5
FT_AE_hybrid,0.1141,0.9242,0.0009,0.1818,0.0018,0.5
TabNet_AE_hybrid,0.1098,0.9176,0.934,0.0214,0.0418,0.5
