model,PR_AUC,ROC_AUC,Recall,Precision,F1,threshold
XGB_v2_base,0.2418,0.9616,0.8911,0.06,0.1124,0.5
XGB_v2_tuned,0.2959,0.9687,0.8699,0.0861,0.1566,0.5
LGBM_v2_base,0.2246,0.9568,0.8831,0.0551,0.1037,0.5
LGBM_v2_tuned,0.2636,0.9666,0.8907,0.0734,0.1356,0.5
MLP_v2_plain_BCE,0.1982,0.9409,0.0,0.0,0.0,0.5
MLP_v2_weighted,0.1766,0.9464,0.8588,0.0515,0.0972,0.5
MLP_v2_focal,0.1952,0.9443,0.1651,0.3391,0.2221,0.5
MLP_v2_focal_dropout,0.185,0.9427,0.1067,0.3691,0.1655,0.5
MLP_v2_focal_batchnorm,0.1953,0.9476,0.1633,0.3306,0.2187,0.5
MLP_v2_SMOTE,0.1924,0.9469,0.544,0.1531,0.2389,0.5
TabNet_v2,0.1016,0.9238,0.915,0.0279,0.0541,0.5
Ensemble_v2_best,0.2928,0.9688,0.9978,0.0134,0.0264,0.5
